Temperatura,Personas,Electrodomesticos,Consumo_kWh
17.03184340035774,1.0,5.0,24.201687989845496
16.68299597259739,5.0,16.0,58.79187374711876
18.809620421175218,1.0,16.0,43.98072813308355
27.307943444954837,5.0,15.0,65.84466503889436
21.212979243067068,1.0,5.0,26.575070909402093
27.468642393420666,5.0,5.0,44.057262705590645
11.625729907272282,3.0,18.0,47.72174932442479
25.50316504404907,5.0,16.0,63.77568743331453
30.373193160847695,3.0,19.0,73.05710128382592
20.013329446210584,5.0,13.0,56.574784735263215
,4.0,20.0,73.75771070616491
17.001496850622654,4.0,20.0,63.72096629057517
19.20426618703844,5.0,14.0,52.221307539142536
11.98282289171364,1.0,14.0,35.74805469464677
20.169704414357607,5.0,11.0,50.135580827698895
15.718532375921162,,9.0,44.385566205249305
32.20459726500124,2.0,17.0,65.14096314763351
24.97644476472686,5.0,,69.53869362897555
29.793964617833748,3.0,12.0,56.16489260067498
31.228817940348925,5.0,7.0,56.0918070822842
16.45447454640873,2.0,,48.57229556437969
14.323741951826523,1.0,14.0,40.6252051917559
30.289549291597098,3.0,8.0,49.29869695563046
17.453198963962382,4.0,5.0,35.4033793738402
23.90272770065581,2.0,9.0,39.779792610350725
19.668744055099882,4.0,17.0,57.89005691866972
22.52540659113852,5.0,19.0,65.32648642366287
19.86114542743794,4.0,18.0,62.011128290706836
24.17077861508023,4.0,18.0,61.70329411957771
19.221965871632584,2.0,19.0,54.237667453525944
26.309830732939606,2.0,10.0,46.35422945813758
18.246204607246376,1.0,18.0,51.51914702814422
26.681895165565777,1.0,11.0,44.529342697327635
15.43928052932106,1.0,9.0,31.546619290478894
19.635678745755826,5.0,6.0,44.09236672456751
17.11387763342816,4.0,17.0,51.490992518873114
23.337035913612336,2.0,6.0,32.233146925557335
19.15774772183593,4.0,20.0,61.005398907846576
25.065025466570248,,20.0,74.68021928053909
23.347725758443183,1.0,19.0,58.22586578489734
17.365542990245245,3.0,18.0,
19.172841094892945,1.0,20.0,52.64912299481043
21.500028889886355,4.0,10.0,48.75827713168832
20.20804349776814,2.0,20.0,55.72848634707548
22.422784698933526,1.0,12.0,40.235120934975
24.46935390787267,1.0,6.0,34.48596646996146
22.226287480293536,1.0,11.0,40.04811265206122
26.9804228743656,4.0,19.0,70.91466487489528
18.26545504278374,5.0,11.0,49.06839276100517
29.267680774660246,,10.0,54.19563698312653
17.223726334638208,3.0,20.0,55.04675019410584
29.587300939502178,5.0,15.0,60.376899735569964
25.869199311517235,2.0,6.0,42.39987884239514
,5.0,13.0,62.108387472992035
29.058944757385174,1.0,8.0,41.31081474874933
30.277033316134883,5.0,7.0,
15.267284586416274,4.0,9.0,39.234928967370614
15.899413809375355,1.0,6.0,26.56602302782266
18.101142725954965,3.0,9.0,37.696877209704695
28.358920381838637,4.0,14.0,63.37339752817225
35.46331489272695,5.0,13.0,64.55498584130733
19.21017050978009,5.0,8.0,
17.166857819680544,3.0,13.0,46.99878967400318
17.135634075414238,4.0,6.0,32.14940646353296
21.822942851251565,,15.0,55.73980214574366
23.607687537343363,4.0,10.0,47.982762097821976
21.063142231981008,3.0,10.0,48.96830077990133
19.07733679464195,,14.0,45.80714408755035
24.816774187575724,2.0,15.0,52.02705576300312
24.74871393208481,5.0,12.0,67.13341391848019
17.49267979022836,3.0,8.0,38.629656408933535
17.96731116445214,2.0,18.0,48.73423561491984
25.832280379573213,2.0,13.0,50.95483756078176
29.663632103355233,2.0,19.0,66.9477527434554
21.16313416730774,5.0,17.0,57.11946749852992
25.375155902413663,3.0,5.0,37.97500688692793
25.08680078875519,4.0,10.0,
18.216573406273568,2.0,15.0,41.90895363695153
17.01061931451965,4.0,12.0,50.04253519540862
21.36953304728097,,16.0,53.54473516222413
19.254516052722416,1.0,19.0,52.495998849984026
25.629347840519213,3.0,5.0,37.98344333730448
,2.0,,51.4713494787468
20.13606451415195,,15.0,47.17460100607885
25.9321888264604,2.0,9.0,47.88486815108001
